"","Player","PS","GP","Min","FGM","FGA","X3M","X3A","FTM","FTA","OR","TR","AS","ST","TO","BK","PF","DQ","PTS","TC","EJ","FF","Sta","X...","OE","PER","AdjPER","Delta"
"326","e.clark (cle)","SF",54,769,97,261,41,122,22,34,22,143,18,17,31,25,67,0,257,0,0,0,17,-136,NA,9.09,9.62695006726658,0.536950067266577
"327","d.miller (nop)","SF",45,726,73,166,25,77,29,36,9,52,43,23,22,9,88,0,200,0,0,0,7,51,NA,9.06,9.39823084814876,0.338230848148758
"328","l.ridnour (mil)","PG",61,1138,126,327,37,108,17,26,23,97,177,32,66,8,92,0,306,1,0,0,14,-202,NA,9.01,9.54630787838488,0.536307878384884
"329","l.ridnour (cha)","PG",61,1138,126,327,37,108,17,26,23,97,177,32,66,8,92,0,306,1,0,0,14,-202,NA,9.01,9.54630787838488,0.536307878384884
"330","j.dudley (lac)","SG",74,1730,196,447,81,225,38,58,36,160,104,41,56,10,146,0,511,0,0,0,43,210,NA,8.91,9.76559009094104,0.855590090941039
"331","n.cole (mia)","PG",82,2012,207,500,60,174,53,68,17,160,247,77,128,5,156,0,527,2,0,0,6,105,NA,8.8,9.13137994825944,0.331379948259441
"332","p.pressey (bos)","PG",75,1129,78,253,28,106,29,45,20,105,240,68,87,5,97,1,213,0,0,0,11,-39,NA,8.78,9.58306465320106,0.803064653201064
"333","e.williams (phi)","SG",67,1157,140,337,37,125,87,119,30,130,72,35,68,3,126,0,404,0,0,0,2,-366,NA,8.71,9.82808957605877,1.11808957605877
"334","s.battier (mia)","SF",73,1467,105,275,73,210,15,23,34,137,63,50,22,39,124,0,298,0,0,0,56,195,NA,8.7,8.94941359376687,0.249413593766871
"335","a.gee (cle)","SG",65,1021,98,237,19,59,43,61,35,149,47,39,44,15,96,0,258,0,0,0,24,-228,NA,8.63,9.18160238209011,0.551602382090106
"336","q.miller (den)","SF",52,788,94,256,30,94,39,55,36,147,26,22,48,32,70,0,257,0,0,0,16,-60,NA,8.62,9.67457782722335,1.05457782722335
"337","l.mbahamoute (sac)","SF",64,1002,87,193,4,17,46,67,56,146,36,31,40,14,68,2,224,0,0,0,7,-152,NA,8.42,9.13614718731736,0.716147187317363
"338","l.mbahamoute (min)","SF",64,1002,87,193,4,17,46,67,56,146,36,31,40,14,68,2,224,0,0,0,7,-152,NA,8.42,9.13614718731736,0.716147187317363
"339","t.prince (mem)","SF",76,1949,200,492,20,69,34,60,32,234,119,39,41,19,63,0,454,0,0,0,76,43,NA,8.18,8.24488339701796,0.0648833970179563
"340","t.snell (chi)","SF",77,1235,129,336,57,178,31,41,19,124,68,29,44,15,84,0,346,0,0,0,12,-115,NA,8.02,8.49004429301052,0.470044293010524
"341","j.salmons (sac)","SF",78,1725,150,413,63,163,40,52,20,163,147,47,54,19,124,0,403,1,0,0,8,-8,NA,7.81,8.28683680147826,0.476836801478261
"342","j.salmons (tor)","SF",78,1725,150,413,63,163,40,52,20,163,147,47,54,19,124,0,403,1,0,0,8,-8,NA,7.81,8.28683680147826,0.476836801478261
"343","g.temple (was)","SG",75,644,51,141,6,29,30,43,21,68,72,35,42,11,72,0,138,0,0,0,0,-86,NA,7.81,8.53713836446584,0.727138364465842
"344","b.mclemore (sac)","SG",82,2185,255,679,95,297,115,143,53,235,83,45,96,18,201,1,720,2,0,0,55,-206,NA,7.77,8.20893120278994,0.438931202789936
"345","e.udoh (mil)","PF",43,804,57,143,0,0,30,47,61,148,31,15,38,44,96,0,144,0,0,0,14,-169,NA,7.62,7.99195370682089,0.371953706820893
"346","d.lamb (orl)","SG",53,697,63,160,36,90,29,36,8,49,43,11,27,1,54,1,191,0,0,0,0,-2,NA,7.51,7.8995951790043,0.3895951790043
"347","b.davies (phi)","PF",51,573,54,128,2,10,34,53,38,109,28,24,35,8,92,1,144,0,0,0,0,-32,NA,7.49,8.80819259541361,1.31819259541361
"348","j.terry (brk)","SG",35,570,55,152,39,103,10,15,4,37,56,13,27,0,48,0,159,1,0,0,0,-66,NA,7.48,7.86697870916842,0.38697870916842
"349","w.green (lac)","SG",55,870,102,271,41,121,28,34,12,78,50,22,34,11,96,0,273,0,0,0,9,82,NA,7.13,8.22268844162069,1.09268844162069
"350","d.garrett (uta)","SG",71,1050,101,265,36,96,10,12,11,97,120,41,75,5,75,0,248,0,0,0,0,-116,NA,7.1,7.49765941477714,0.39765941477714
"351","a.bennett (cle)","PF",52,666,80,225,13,53,44,69,49,155,17,21,47,8,93,1,217,1,0,0,0,-83,NA,6.95,7.78979319843244,0.839793198432436
"352","k.perkins (okc)","C",62,1206,87,194,0,2,37,67,82,305,67,26,91,32,177,0,211,10,0,0,62,44,NA,6.32,7.04721861864179,0.727218618641789
"353","j.taylor (cha)","SF",26,629,82,218,18,67,26,47,15,60,22,13,25,5,62,0,208,0,0,0,8,-75,NA,5.97,6.58344242120509,0.61344242120509
"354","d.schroder (atl)","PG",49,641,72,188,10,42,29,43,5,60,93,17,61,0,54,0,183,0,0,0,0,-205,NA,5.81,6.79813189624025,0.988131896240247
"355","j.lucas (uta)","PG",42,589,62,190,25,84,10,16,12,39,42,14,22,0,41,0,159,0,0,0,6,-168,NA,5.23,5.71773529662478,0.487735296624784
