Player,PS,GP,Min,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,Sta,+/-,OE,PER
j.wall (was),PG,82,2980,579,1337,108,308,317,394,38,333,719,149,295,39,219,1,1583,2,0,0,82,195,,19.61
k.leonard (sas),SF,66,1924,337,645,69,182,101,126,76,411,133,114,80,49,127,0,844,0,0,0,65,376,,19.43
j.hill (lal),C,72,1501,286,521,0,1,124,181,194,535,54,29,75,65,172,2,696,1,0,0,32,-304,,19.39
p.gasol (lal),PF,60,1883,425,885,4,14,187,254,124,580,201,27,141,92,124,0,1041,0,0,0,60,-354,,19.34
d.lee (gsw),PF,69,2288,513,980,0,1,231,296,183,644,147,48,153,26,206,4,1257,1,0,0,67,467,,19.21
t.jones (hou),PF,76,2083,386,713,31,102,118,195,162,528,87,54,71,99,139,0,921,1,0,0,71,125,,19.14
c.bosh (mia),PF,79,2529,492,954,74,219,223,272,98,522,87,80,124,78,192,1,1281,3,0,0,79,447,,19.11
m.plumlee (brk),PF,70,1275,199,302,0,3,122,195,99,308,60,49,77,55,171,3,520,0,0,0,22,-87,,19.09
t.lawson (den),PG,62,2221,347,805,72,202,324,406,41,216,543,100,201,10,113,1,1090,0,0,0,61,-46,,19.02
d.favors (uta),PF,73,2202,390,747,0,1,190,284,199,637,91,75,129,108,235,1,970,0,0,0,73,-339,,19.01
t.parker (sas),PG,68,2002,456,914,25,67,197,243,17,154,390,36,151,9,86,0,1134,1,0,0,68,274,,19
a.stoudemire (nyk),PF,65,1466,311,558,0,0,150,203,112,320,34,23,91,37,159,1,772,9,0,0,22,-159,,18.89
r.anderson (nop),PF,22,795,155,354,67,164,59,62,65,141,17,10,20,7,47,0,436,1,0,0,14,30,,18.89
n.vucevic (orl),C,57,1814,353,696,0,0,105,137,185,626,104,60,112,47,169,4,811,3,0,0,57,-177,,18.85
a.blatche (brk),PF,73,1622,321,674,15,54,164,221,120,390,112,75,110,38,166,0,821,2,0,0,7,24,,18.85
p.mills (sas),PG,81,1523,309,666,135,318,73,82,34,169,149,68,62,9,114,0,826,1,0,0,2,338,,18.8
d.lillard (por),PG,82,2935,553,1303,218,554,371,426,35,288,455,64,193,22,197,1,1695,3,0,0,82,359,,18.69
c.andersen (mia),C,72,1396,177,275,3,12,120,169,129,379,19,32,53,97,162,1,477,1,0,0,0,162,,18.56
j.johnson (mem),PF,52,957,143,308,22,87,76,90,60,166,111,43,66,57,102,1,384,1,0,0,4,96,,18.5
m.morris (pho),PF,82,1800,288,651,99,260,121,159,84,319,88,72,95,18,157,0,796,7,0,0,1,125,,18.48
m.morris (pho),PF,81,2151,411,845,34,108,259,327,139,485,143,68,147,51,232,2,1115,9,0,0,0,133,,18.48
t.evans (nop),PG,72,2024,391,897,21,95,239,310,76,341,363,84,175,21,155,0,1042,3,0,0,22,-207,,18.43
d.derozan (tor),SG,79,3020,604,1407,64,210,519,630,51,343,313,86,176,28,197,0,1791,8,0,0,79,180,,18.42
r.gay (tor),SF,73,2532,537,1179,65,197,318,387,113,437,209,95,224,56,171,2,1457,3,0,0,73,-69,,18.4
r.gay (sac),SF,73,2532,537,1179,65,197,318,387,113,437,209,95,224,56,171,2,1457,3,0,0,73,-69,,18.4
z.randolph (mem),PF,79,2709,560,1198,2,20,250,337,265,794,199,54,183,23,210,0,1372,4,0,0,79,169,,18.37
k.humphries (bos),PF,69,1381,231,462,0,3,117,144,127,409,67,31,64,61,136,1,579,2,0,0,30,-178,,18.28
m.gasol (mem),C,59,1976,336,711,2,11,185,241,84,424,216,59,111,76,150,1,859,0,0,0,59,16,,18.27
d.jordan (lac),C,82,2872,348,515,0,0,160,374,331,1114,75,80,123,203,264,2,856,7,0,0,82,493,,18.19
g.monroe (det),C,82,2693,504,1015,0,1,241,367,256,760,171,91,167,47,205,2,1249,8,0,0,82,-152,,18.16
j.henson (mil),PF,70,1858,344,639,0,1,91,177,171,497,113,41,114,116,185,0,779,4,0,0,23,-428,,17.97
d.williams (brk),PG,65,2058,322,716,98,268,173,216,15,168,393,93,143,13,148,0,915,0,0,0,58,187,,17.69
r.lopez (por),C,82,2611,355,644,0,1,198,242,326,698,73,26,84,139,196,2,908,6,0,0,82,314,,17.68
m.gortat (was),C,81,2660,455,840,1,1,157,229,202,767,136,41,126,121,201,2,1068,3,0,0,80,292,,17.66
j.leuer (mem),PF,49,643,121,246,23,49,37,47,37,158,20,18,27,13,63,0,302,0,0,0,0,-13,,17.65
d.west (ind),PF,80,2469,458,939,4,15,198,251,120,542,223,61,133,74,186,1,1118,7,0,0,80,410,,17.55
j.adrien (mil),SF,53,963,143,275,0,0,76,119,102,306,38,24,39,36,108,0,362,2,0,0,12,-72,,17.49
j.crawford (lac),SG,69,2093,421,1011,161,446,279,322,34,158,223,59,135,12,120,0,1282,4,0,0,24,270,,17.39
d.blair (dal),C,78,1217,210,393,0,2,77,121,139,368,70,60,77,21,192,1,497,1,0,0,13,-12,,17.33
